Wavelength TransitDepth Uncertainty
2.735510000000000e+00 2.135850000000000e+00 4.474000000000000e-02
2.738910000000000e+00 2.104840000000000e+00 4.033000000000000e-02
2.742310000000000e+00 2.113760000000000e+00 3.694000000000000e-02
2.745710000000000e+00 2.114990000000000e+00 3.532000000000000e-02
2.749110000000000e+00 2.149420000000000e+00 3.249000000000000e-02
2.752500000000000e+00 2.076250000000000e+00 2.914000000000000e-02
2.755900000000000e+00 2.083830000000000e+00 2.937000000000000e-02
2.759300000000000e+00 2.134970000000000e+00 2.500000000000000e-02
2.762700000000000e+00 2.128540000000000e+00 2.420000000000000e-02
2.766100000000000e+00 2.143930000000000e+00 2.468000000000000e-02
2.769500000000000e+00 2.151680000000000e+00 1.993000000000000e-02
2.772900000000000e+00 2.117050000000000e+00 1.973000000000000e-02
2.776290000000000e+00 2.119790000000000e+00 1.890000000000000e-02
2.779690000000000e+00 2.137530000000000e+00 1.799000000000000e-02
2.783090000000000e+00 2.094990000000000e+00 1.773000000000000e-02
2.786490000000000e+00 2.136330000000000e+00 1.735000000000000e-02
2.789890000000000e+00 2.137750000000000e+00 1.669000000000000e-02
2.793280000000000e+00 2.140680000000000e+00 1.560000000000000e-02
2.796680000000000e+00 2.120390000000000e+00 1.517000000000000e-02
2.800080000000000e+00 2.111600000000000e+00 1.423000000000000e-02
2.803480000000000e+00 2.113550000000000e+00 1.444000000000000e-02
2.806870000000000e+00 2.103720000000000e+00 1.407000000000000e-02
2.810270000000000e+00 2.098990000000000e+00 1.310000000000000e-02
2.813670000000000e+00 2.129750000000000e+00 1.355000000000000e-02
2.817070000000000e+00 2.102620000000000e+00 1.333000000000000e-02
2.820460000000000e+00 2.132800000000000e+00 1.276000000000000e-02
2.823860000000000e+00 2.110290000000000e+00 1.234000000000000e-02
2.827260000000000e+00 2.111460000000000e+00 1.215000000000000e-02
2.830650000000000e+00 2.097150000000000e+00 1.229000000000000e-02
2.834050000000000e+00 2.123800000000000e+00 1.259000000000000e-02
2.837450000000000e+00 2.131810000000000e+00 1.179000000000000e-02
2.840840000000000e+00 2.096420000000000e+00 1.179000000000000e-02
2.844240000000000e+00 2.090800000000000e+00 1.167000000000000e-02
2.847640000000000e+00 2.122770000000000e+00 1.117000000000000e-02
2.851030000000000e+00 2.100740000000000e+00 1.180000000000000e-02
2.854430000000000e+00 2.130070000000000e+00 1.140000000000000e-02
2.857820000000000e+00 2.102440000000000e+00 1.140000000000000e-02
2.861220000000000e+00 2.075170000000000e+00 1.088000000000000e-02
2.864620000000000e+00 2.093190000000000e+00 1.116000000000000e-02
2.868010000000000e+00 2.116210000000000e+00 1.070000000000000e-02
2.871410000000000e+00 2.109210000000000e+00 1.125000000000000e-02
2.874800000000000e+00 2.084070000000000e+00 1.174000000000000e-02
2.878200000000000e+00 2.078360000000000e+00 1.085000000000000e-02
