 Teff  logg FeH   profile        filter     wave_min wave_eff wave_max   c1    e1    c2     e2    c3    e3    c4     e4 
------ ---- --- ----------- --------------- -------- -------- -------- ----- ----- ------ ----- ----- ----- ------ -----
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.422   0.4294    0.437 0.991 0.002 -0.144 0.003   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.438   0.4456    0.453  1.03 0.005 -0.156 0.006   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.454   0.4614    0.469 1.007 0.006 -0.124 0.008   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K     0.47   0.4775    0.485 1.008 0.006 -0.138 0.008   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.486   0.4934    0.501 0.946 0.004  -0.11 0.005   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.502   0.5093    0.517 0.935 0.002 -0.161 0.003   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.518   0.5254    0.533 0.826 0.002 -0.046 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.534   0.5415    0.549  0.82 0.002 -0.022 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K     0.55   0.5576    0.565 0.791 0.002  0.007 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.566   0.5737    0.581 0.758 0.001  0.029 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.582   0.5894    0.597 0.737 0.001   0.04 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.598   0.6055    0.613 0.712 0.001  0.051 0.002   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.614   0.6216    0.629 0.685 0.002  0.061 0.003   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K     0.63   0.6377    0.645 0.667 0.002  0.067 0.003   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.646   0.6533    0.661  0.64 0.003  0.079 0.004   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.662   0.6694    0.677 0.628 0.003  0.085 0.004   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.678   0.6855    0.693 0.611 0.003  0.091 0.004   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.694   0.7017    0.709 0.592 0.004  0.094 0.005   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K     0.71   0.7173    0.725 0.578 0.004    0.1 0.006   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.726   0.7334    0.741 0.559 0.004  0.103 0.006   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.742   0.7495    0.757 0.541 0.004  0.109 0.006   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.758   0.7656    0.773  0.53 0.005  0.112 0.006   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.774   0.7817    0.789 0.519 0.005  0.117 0.007   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K     0.79   0.7974    0.805 0.503 0.005  0.119 0.007   nan   nan    nan   nan
4500.0  4.5 0.0   quadratic Kepler/Kepler.K    0.806   0.8135    0.821  0.49 0.006  0.119 0.007   nan   nan    nan   nan
